Macbook m1 pro,1999,280,2021,Apple
Macbook pro 13 Intel,1299,252,2020,Apple
Macbook m1 air ,999,158,2020,Apple
Macbook m2 air,1199,147,2022,Apple
Macbook air (intel 2020),999,198,2020,Apple
Macbook pro intel 2019,2399,416,2019,Apple
Macbook m2 pro,1999,243,2023,Apple
Macbook m2,1299,138,2022,Apple
XPS 15 9570,1349,324,2018,Dell
XPS 17 9710,1599,509,2021,Dell
XPS 15 9510,2449,431,2021,Dell
XPS 15 9500,2920,380,2020,Dell
XPS 15 9520,1499,431,2021,Dell
XPS 9320,1199,380,2020,Dell
XPS 9315 2 in 1,999,411,2020,Dell
XPS 9315 ,830,404,2022,Dell
XPS 15 9560,1775,337,2017,Dell
XPS 13 9380,1199,317,2019,Dell
XPS 13 9370,1499,297,2018,Dell
XPS 13 9365,1149,287,2017,Dell
XPS 13 9360,890,286,2017,Dell
XPS 13 9310 2-in-1,1490,342,2020,Dell
XPS 13 9310,1050,322,2020,Dell
XPS 13 9300,1295,327,2020,Dell
XPS 13 7390,1599,320,2019,Dell
XPS 9720,980,524,2022,Dell
XPS 8960,749,498,2023,Dell
Inspiron 13 5320,1299,326,2019,Dell
Inspiron 14 5420,1199,344,2019,Dell
Inspiron 14 5425,1150,345,2019,Dell
Inspiron 14 7420 2-in-1,1099,366,2022,Dell
Inspiron 14 7425 2-in-1,1099,355,2022,Dell
Inspiron 16 5620,1249,386,2021,Dell
Inspiron 16 5625,1220,381,2022,Dell
Inspiron 16 7620 2-in-1,1499,403,2021,Dell
Inspiron 14 Plus 7420,1299,376,2022,Dell
Inspiron 16 Plus 7620,1599,420,2022,Dell
Inspiron 14 3420,699,282,2020,Dell
Inspiron 16 7630 2-in-1,949,396,2021,Dell
Inspiron 14 5430,1879,295,2023,Dell
Inspiron 13 5330,1519,328,2021,Dell
Vostro 15 3510,1619,273,2019,Dell
Vostro 15 3515,1619,282,2019,Dell
Vostro 5320,1430,326,2022,Dell
Vostro 5620,1500,386,2022,Dell
Vostro 5625,1500,380,2022,Dell
Vostro 7620,1700,412,2022,Dell
Precision 7760,1379,533,2021,Dell
Precision 7750,1379,495,2020,Dell
Precision 7740,1359,463,2019,Dell
Precision 7730,1379,476,2017,Dell
Precision 7720,1599,416,2018,Dell
Precision 7540,2189,367,2019,Dell
Precision 7530,1649,399,2019,Dell
Precision 7550,1799,455,2019,Dell
Precision 7560,1799,458,2020,Dell
Precision 7520,1899,399,2021,Dell
Precision 5760,1459,509,2018,Dell
Precision 5560,1459,432,2021,Dell
Precision 5550,1459,414,2021,Dell
Precision 5570,1459,443,2020,Dell
Precision 5470,1359,395,2022,Dell
Precision 5540,1219,512,2022,Dell
Precision 5530,1359,340,2019,Dell
Precision 5520,649,368,2018,Dell
Chromebook 5190,528,220,2018,Dell
Chromebook 5190 2-In-1,699,219,2019,Dell
Latitude 9520 2-in-1,1989,361,2019,Dell
Latitude 9520,1989,367,2021,Dell
Latitude 9510 2-in-1,1611,482,2020,Dell
Latitude 9510,2749,482,2020,Dell
Latitude 9420 2-in-1,1499,350,2020,Dell
Latitude 9420,1299,344,2020,Dell
Latitude 9410 2-in-1,899,357,2021,Dell
Latitude 9410,899,356,2021,Dell
Latitude 9330,2085,372,2020,Dell
Latitude 7330 Rugged Extreme,3885,348,2022,Dell
Latitude 7490,1401,241,2022,Dell
Latitude 7480,599,249,2018,Dell
Latitude 7420 2-in-1,1669,353,2018,Dell
Latitude 7420,4200,341,2021,Dell
Latitude 7410 2-in-1 Chromebook Enterprise,1099,463,2021,Dell
Latitude 7410 2-in-1,1579,338,2020,Dell
Latitude 7410 Chromebook Enterprise,1900,454,2021,Dell
Latitude 7410,1579,329,2020,Dell
Latitude 7400 2-in-1,1599,351,2021,Dell
Latitude 7400,1230,320,2019,Dell
Latitude 7390 2-in-1,599,332,2019,Dell
Latitude 7390,1249,222,2018,Dell
Latitude 7389,399,289,2018,Dell
Latitude 7380,1199,259,2018,Dell
Latitude 7370,1299,288,2018,Dell
Latitude 7350,489,297,2018,Dell
Latitude 7320 2-in-1,1749,333,2018,Dell
Latitude 7320 Detachable,1699,82,2021,Dell
Latitude 7320,799,336,2021,Dell
Latitude 7310 2-in-1,1299,326,2021,Dell
Latitude 7310,2455,328,2021,Dell
Latitude 7300,1599,323,2021,Dell
Latitude 5591,1099,305,2019,Dell
Latitude 5590,499,271,2018,Dell
Latitude 5580,599,299,2018,Dell
Latitude 5550,420,259,2018,Dell
Latitude 5521,1299,379,2018,Dell
Latitude 5520,1011,324,2021,Dell
Latitude 5511,899,378,2021,Dell
Latitude 5510,1099,348,2020,Dell
Latitude 5501,1999,403,2020,Dell
Latitude 5500,1629,393,2019,Dell
Latitude Rugged 5424,2499,361,2019,Dell
Latitude 5400 Chromebook Enterprise,1299,325,2019,Dell
Latitude 5400,699,315,2019,Dell
Latitude 5430 Rugged,2799,370,2019,Dell
Latitude 5320 2-in-1,799,308,2022,Dell
Latitude 5320,999,348,2021,Dell
Latitude 5310 2-in-1,849,299,2021,Dell
Latitude 5310,849,300,2020,Dell
Latitude 5300 2-in-1,1519,316,2020,Dell
Latitude 5300 2-in-1 Chromebook Enterprise,1469,299,2019,Dell
Latitude 5300,1319,296,2019,Dell
Latitude 5330 2-in-1,1389,343,2019,Dell
Latitude 5290 2-in-1,899,268,2022,Dell
Latitude 5290,899,218,2018,Dell
Latitude 5289,399,259,2018,Dell
Latitude 5285,2044,258,2018,Dell
Latitude 5280,849,225,2018,Dell
Latitude 5250,214,235,2018,Dell
Latitude 7530,1539,314,2018,Dell
Latitude 7330,2276,277,2022,Dell
Latitude 7330 2-in-1,1699,296,2022,Dell
Latitude 7430,1459,286,2022,Dell
Latitude 7430 2-in-1,1596,359,2022,Dell
Latitude 9430,2289,375,2022,Dell
Latitude 9430 2-in-1,2759,380,2022,Dell
Latitude 7520,1749,364,2022,Dell
Latitude 5430,1169,301,2022,Dell
Latitude 5431,1459,298,2021,Dell
Latitude 5530,1579,364,2022,Dell
Latitude 5531,1689,373,2022,Dell
Latitude 5430 Chromebook,359,329,2022,Dell
Latitude 5430 2-in-1 Chromebook,1099,335,2022,Dell
Latitude 7330 2-in-1,1819,296,2022,Dell
Latitude 7430,2319,286,2022,Dell
Latitude 7430 2-in-1,2099,359,2022,Dell
Latitude 9430,2459,375,2022,Dell
Latitude 9430 2-in-1,2759,380,2022,Dell
Latitude 7530,1749,364,2022,Dell
Latitude 5430,1529,301,2021,Dell
Latitude 5431,1459,298,2022,Dell
Latitude 5530,1579,364,2022,Dell
Latitude 5531,1999,373,2022,Dell
Latitude 5430 Chromebook,359,329,2022,Dell
Latitude 5430 2-in-1 Chromebook,1099,335,2022,Dell
HP Spectre x360 13.5,1249,468,2022,HP
HP Spectre x360 16,1349,564,2022,HP
HP Envy x360 13.3,699,271,2020,HP
HP Envy x360 15.6,799,323,2022,HP
HP Pavilion Aero 13,749,440,2021,HP
HP Pavilion 14,999,217,2022,HP
HP Pavilion plus 14 ,799,275,2022,HP
HP Pavilion x360 14”,649,205,2022,HP
HP Pavilion 15,999,470,2020,HP
Slim 7 (14” Intel),1140,577,2022,Lenovo
Slim 7i carbon,1139,558,2022,Lenovo
Lenovo Slim 7 Pro X,1099,368,2022,Lenovo
Yoga Slim 7 Pro 14 IHU5 O,1358,577,2022,Lenovo
Yoga Slim 7 Pro 16,999,1040,2021,Lenovo
Yoga 6 13 AMD,594,354,2022,Lenovo
Yoga 6 touchscreen,749,787,2022,Lenovo
Yoga 7,869,381,2022,Lenovo
Yoga 9,1149,512,2023,Lenovo
Ideapad gaming 3,899,875,2022,Lenovo
Ideapad flex 5,589,482,2020,Lenovo
Ideapad 3,499,359,2020,Lenovo
IdeaPad Slim 9i,979,418,2022,Lenovo
Ideapad 5 Pro 14,739,360,2023,Lenovo
Ideapad 5 Pro 16,859,469,2023,Lenovo
Ideapad flex 5 chromebook 13,319,318,2022,Lenovo
Ideapad S340 touch,698,378,2019,Lenovo
Thinkbook 14 G3,751,389,2021,Lenovo
Thinkbook 14 G4,582,788,2020,Lenovo
Thinkbook 15 G4,609,256,2022,Lenovo
Thinkbook 13s G4,786,370,2022,Lenovo
Thinkbook 14s Yoga G2,840,233,2022,Lenovo
Thinkbook 13x G2,1039,452,2022,Lenovo
Thinkbook Plus,1457,489,2023,Lenovo
Thinkbook 16p,1392,586,2023,Lenovo
Thinkpad carbon x1 G10,1164,1340,2022,Lenovo
Thinkpad e15 G4,525,978,2022,Lenovo
Thinkpad t14 G4,935,233,2022,Lenovo
ThinkPad E14 Gen 4,529,809,2022,Lenovo
ThinkPad X1 Carbon Gen 9,1300,508,2021,Lenovo
ThinkPad T16,1055,562,2022,Lenovo
ThinkPad X1 Extreme Gen 5,1589,1340,2022,Lenovo
ThinkPad X1 Yoga Gen 7,1239,414,2022,Lenovo
ThinkPad T14s Gen 3,1024,518,2022,Lenovo
ThinkPad P16,1639,669,2022,Lenovo
ThinkPad T14s Gen 2 ,734,413,2022,Lenovo
ThinkPad T14s Gen 3,1149,403,2022,Lenovo
ThinkPad X1 Nano Gen 2,1259,417,2022,Lenovo
ThinkPad T15p Gen 3,1462,661,2021,Lenovo
ThinkPad P14s Gen 3,1139,405,2022,Lenovo
ThinkPad Z13,1034,416,2022,Lenovo
ThinkPad P15v Gen 3,1412,661,2022,Lenovo
ThinkPad L13 Gen 3,795,512,2022,Lenovo
ThinkPad X13 Yoga Gen 3,1192,493,2022,Lenovo
ThinkPad X13 Gen 3,1055,397,2022,Lenovo
ThinkPad Z16,1355,545,2022,Lenovo